Binary Heap
[450] 0->112->937->464
[466] 0->404->465
[406] 0->199->398->466
[476] 0->199->913->580->467
[387] 0->199->892->468
[413] 0->112->508->469
[413] 0->930->619->470
[249] 0->199->471
[359] 0->643->472
[374] 0->199->913->473
[422] 0->112->120->474
[344] 0->643->390->475
[331] 0->643->476
[419] 0->112->553->477
[399] 0->525->478
[436] 0->112->813->479
[459] 0->112->462->480
[439] 0->597->36->481
[367] 0->930->194->482
[408] 0->199->483
[263] 0->930->484
[440] 0->930->414->485
[362] 0->888->486
[334] 0->643->627->487
[373] 0->930->194->488
[343] 0->112->569->489
[375] 0->643->627->490
[385] 0->112->749->491
[431] 0->859->105->492
[457] 0->112->293->493
[429] 0->643->570->995->494
[380] 0->643->88->495
[483] 0->199->471->370->496
[266] 0->643->497
[444] 0->643->919->498
[452] 0->643->570->97->499
[424] 0->643->570->500
[464] 0->199->913->580->501
[240] 0->643->502
[483] 0->873->503
[476] 0->525->827->504
[328] 0->199->505
[375] 0->643->674->506
[445] 0->597->560->507
[297] 0->112->508
[342] 0->643->570->509
[450] 0->246->417->510
[448] 0->246->574->511
[427] 0->112->569->512
[433] 0->199->132->513
[478] 0->643->900->514
[412] 0->597->632->515
[388] 0->199->25->516
[236] 0->930->517
[425] 0->112->293->518
[414] 0->112->553->519
[458] 0->199->913->524->520
[439] 0->643->83->521
[446] 0->109->522
[415] 0->859->523
[346] 0->199->913->524
[231] 0->525
[479] 0->112->292->526
[368] 0->199->527
[492] 0->873->413->528
[478] 0->930->484->529
[356] 0->112->749->530
[437] 0->643->570->995->531
[414] 0->930->164->532
[412] 0->199->144->533
[352] 0->534
[461] 0->199->505->535
[380] 0->199->25->536
[392] 0->537
[477] 0->199->892->538
[451] 0->643->674->589->539
[479] 0->112->749->678->540
[387] 0->643->83->541
[370] 0->643->542
[449] 0->930->194->543
[441] 0->270->544
[325] 0->643->545
[370] 0->643->546
[500] 0->643->957->547
[476] 0->643->627->22->548
[433] 0->597->632->549
[355] 0->643->674->550
[269] 0->643->551
[482] 0->199->725->552
[306] 0->112->553
[418] 0->930->484->554
[377] 0->873->555
[404] 0->643->900->556
[332] 0->643->390->557
[398] 0->930->619->558
[409] 0->597->632->559
[335] 0->597->560
[430] 0->199->892->561
[373] 0->199->25->562
[388] 0->643->771->563
[365] 0->564
[424] 0->199->682->565
[452] 0->112->666->566
[357] 0->643->900->567
[411] 0->930->336->568
[242] 0->112->569
[219] 0->643->570
[346] 0->199->571
[470] 0->859->442->572
[465] 0->643->545->573
[306] 0->246->574
[337] 0->930->119->575
[357] 0->643->390->576
[389] 0->199->25->577
[291] 0->643->578
[370] 0->643->551->579
[340] 0->199->913->580
[342] 0->643->929->581
[366] 0->643->397->582
[412] 0->930->164->583
[478] 0->246->584
[359] 0->199->987->585
[396] 0->930->164->586
[362] 0->643->674->587
[368] 0->112->588
[351] 0->643->674->589
[429] 0->930->119->189->590
[479] 0->873->555->591
[408] 0->643->592
[503] 0->888->317->593
[356] 0->930->164->594
[331] 0->930->595
[382] 0->112->898->596
[179] 0->597
[476] 0->597->560->598
[404] 0->643->88->599
[421] 0->643->502->600
[377] 0->888->601
[340] 0->643->627->602
[361] 0->643->900->603
[434] 0->643->627->744->604
[424] 0->112->312->605
[458] 0->930->119->218->606
[241] 0->607
[413] 0->199->25->608
[303] 0->859->609
[397] 0->112->867->610
[407] 0->112->813->611
[474] 0->643->476->612
[459] 0->930->861->613
[510] 0->643->912->614
[368] 0->112->898->615
[473] 0->930->648->616
[349] 0->930->748->617
[438] 0->643->390->825->618
[289] 0->930->619
[451] 0->859->45->620
[453] 0->643->627->185->621
[451] 0->597->832->622
[432] 0->246->574->623
[399] 0->597->36->624
[392] 0->930->119->625
[474] 0->112->898->626
[223] 0->643->627
[388] 0->930->861->628
[364] 0->643->627->629
[343] 0->930->119->630
[367] 0->112->312->631
[304] 0->597->632
[480] 0->930->194->482->633
[374] 0->112->293->634
[473] 0->112->292->635
[395] 0->199->398->636
[390] 0->607->637
[507] 0->643->627->629->638
[531] 0->199->25->639
[380] 0->859->640
[388] 0->930->428->641
[443] 0->112->867->642
[110] 0->643
[434] 0->643->627->744->644
[433] 0->246->55->645
[464] 0->199->299->646
[477] 0->930->428->647
[321] 0->930->648
[391] 0->643->122->649
[352] 0->246->650
[435] 0->643->627->487->651
[494] 0->112->265->934->652
[370] 0->112->569->653
[387] 0->930->654
[485] 0->930->461->655
[375] 0->199->656
[403] 0->199->145->657
[426] 0->643->570->658
[482] 0->199->571->659
[508] 0->930->484->401->660
[341] 0->930->517->661
[393] 0->199->25->662
[424] 0->112->293->663
[470] 0->199->571->664
[428] 0->888->665
[352] 0->112->666
[424] 0->859->754->667
[406] 0->859->668
[468] 0->112->462->669
[380] 0->888->670
[430] 0->112->749->671
[413] 0->643->551->672
[446] 0->643->823->673
[240] 0->643->674
[309] 0->675
[446] 0->643->83->676
[446] 0->643->122->677
[359] 0->112->749->678
[343] 0->930->679
[523] 0->112->749->193->680
[448] 0->643->929->581->681
[251] 0->199->682
[458] 0->859->684->683
[347] 0->859->684
[450] 0->643->551->685
[434] 0->643->390->59->686
[393] 0->199->471->687
[476] 0->643->942->688
[403] 0->643->689
[465] 0->930->748->690
[347] 0->112->265->691
[473] 0->597->692
[373] 0->112->265->693
[387] 0->643->674->694
[473] 0->930->164->182->695
[435] 0->643->912->696
[398] 0->643->502->697
[420] 0->199->299->698
[411] 0->699
[315] 0->643->700
[414] 0->597->36->701
[419] 0->246->574->702
[381] 0->199->682->703
[343] 0->930->428->704
[395] 0->643->122->705
[330] 0->643->570->706
[359] 0->873->707
[397] 0->643->88->708
[504] 0->112->104->709
[457] 0->643->627->22->710
[332] 0->643->390->711
[486] 0->643->390->435->712
[380] 0->643->674->713
[375] 0->930->772->714
[430] 0->112->715
[480] 0->643->900->603->716
[421] 0->930->461->717
[475] 0->930->718
[373] 0->112->569->719
[499] 0->888->670->720
[417] 0->721
[470] 0->930->164->253->722
